,indice_Inflazione_GT_PCA_SA,indice_Tematico_GT_SA,indice_Termini_Diretti_Purificato,indice_Alimentari_Purificato,indice_Energia_Purificato,indice_Abitazione_Purificato,indice_Trasporti_Purificato,indice_Politiche_Economiche_Purificato,indice_Aspettative_Consumatori_Purificato,indice_Sanita_Purificato,indice_Ricreazione_Purificato
2007-12-01,0.640281767151985,-3.59883000374802,-1.92331,-1.91254,-1.45271,-1.20396,-2.07354,-0.89798,-0.87676,-1.80236,-1.48278
2008-01-01,0.633353850965967,-3.02515565435564,0.33187,-1.53369,-1.45271,-0.47151,-1.71949,-0.32324,1.05961,-0.88858,-1.90752
2008-02-01,1.11316221443102,-3.6318391999762,0.23264,-1.70207,-0.82725,-0.9523,-1.9715,-0.82639,-0.27527,-2.22786,-1.2745
2008-03-01,0.729216772420509,-3.06611470130905,-1.83518,-1.3659,-1.29794,-0.9523,-1.38345,-0.82639,1.54899,-1.15432,-0.70969
2008-04-01,1.47509216972361,-2.74802458033718,-0.86689,-1.14649,-1.35567,-0.44355,-1.29494,0.03456,-0.47461,-1.35805,-0.96283
2008-05-01,1.0442679599723,-3.52858039019935,-0.59083,-1.82718,-1.22178,-1.67156,-1.98502,-0.60786,-0.20586,-1.30237,-0.96283
2008-06-01,1.650442503295,-2.93305875664607,0.0786,-1.28054,-1.27951,-0.81248,-1.88053,-0.67945,0.61281,-1.80236,-1.33103
2008-07-01,2.76491465680827,-4.07515208384403,-1.80128,-2.43729,-1.18248,-0.96708,-1.91003,-1.47446,-0.97643,-1.12284,-0.41462
2008-08-01,1.28607881492345,-3.83818722381349,-1.76985,-2.08033,-1.45543,-1.63688,-1.61525,-1.68923,-1.37512,-1.48728,-1.01937
2008-09-01,1.74218184805341,-3.5096558159933,-0.78988,-1.70148,-1.08544,-0.92433,-0.69635,-1.18434,0.98123,-1.54296,-1.87925
2008-10-01,1.7539041230229,-3.0252066778856,-1.23108,-1.32146,-1.22178,-0.58336,-1.31118,-0.68133,-0.25743,-1.28101,-1.44931
2008-11-01,0.33189380690278,-3.53431253571803,-1.13127,-1.18449,-1.1459,-1.8673,-1.6785,-1.04116,0.46157,-1.75301,-1.1679
2008-12-01,0.0947370016538103,-3.72937353732808,-1.13127,-1.48926,-1.22178,-1.87376,-1.90101,-0.41353,-2.11195,-2.06177,-1.22964
2009-01-01,0.183964300149557,-4.25094061273997,-1.17686,-2.34125,-1.26136,-0.47151,-1.54696,-0.53815,-1.54419,-1.27848,-0.70969
2009-02-01,-0.250374031091179,-3.79553891416578,-1.04314,-2.30149,-1.20091,-0.49947,-1.9715,-0.89798,-1.0761,-1.0961,-0.93456
