,indice_Termini_Diretti,indice_Alimentari,indice_Energia,indice_Abitazione,indice_Trasporti,indice_Politiche_Economiche,indice_Aspettative_Consumatori,indice_Sanita,indice_Ricreazione,indice_globale
2007-02-01,-1.2814671928787882,-2.6136184434704504,-1.7503069945626197,-1.4677149523234674,-1.7222108677007129,-0.6143889831756685,-1.9741442655133932,-1.0875650298253736,-2.080917092442909,-4.981699700501611
2007-03-01,-0.7206627477194885,-2.571043348863734,-1.8087470115076514,-1.4677149523234674,-1.331586824241275,-1.626606332608958,1.5731833549958913,-1.7871425957659648,-1.568106617731429,-3.8985061604046423
2007-04-01,-1.0654808407247913,-2.6556711357237637,-1.6918669776175883,-1.0489018868592723,-1.3211513480504258,-0.7759042053418402,-2.1013557370117173,-1.7374316368945961,-1.8306169893643842,-4.910473552686671
2007-05-01,-1.112581968193696,-2.7402989225837935,-2.010835973679704,-1.319918215675489,-1.0591502755813582,-0.6951465942587544,-1.8216461898562037,-0.9846611489092305,-1.3845915477540174,-4.540812224441217
2007-06-01,-1.3095667769069568,-2.782351614837107,-2.010835973679704,-1.0193425395296767,-0.859086475299232,-0.8566618164249262,-2.11399903909115,-2.567626610570552,-1.7432402424588473,-5.312299829065121
2007-07-01,-0.9292370756699638,-2.6556711357237637,-1.7730097641791087,-1.6333455031456199,-0.9293462536470547,-1.626606332608958,-2.2664971147483395,-1.3258161132300237,-1.559725172481436,-4.8964700810220405
2007-08-01,-0.7599444090680509,-1.2800579544600623,-1.7145697472340775,-1.4214478689885945,-0.7959710252562882,-1.11330998848627,-0.22532909529646974,-1.8935284398555137,-1.8222355441143914,-3.725339716747556
2007-09-01,-1.483315945548908,-0.554401952032873,-1.7304053000381139,-1.078461234188868,-0.914156604663856,-1.626606332608958,-1.9105385297642312,-1.3474201105220693,-1.568106617731429,-3.7643571768264668
2007-10-01,-1.2102943648597413,-1.3224002341064667,-1.258910071242861,-1.5268336469826587,-0.9787322065252483,-1.0325523774031842,-1.643861510040148,-2.202240082603943,-1.568106617731429,-4.222578709074661
2007-11-01,-0.8558829818803921,-1.1117591641830415,-1.5124807850620243,-0.43997190593230434,-1.230698117671013,-1.1940675995693562,-1.7453971520276086,-1.2968547548310656,-1.2762429561277115,-3.4585895516518352
2007-12-01,-1.1690919967361533,-1.1957197549931233,-1.454040768116993,-2.017617018430364,-0.9593185328740683,-0.8566618164249262,-0.6445041906777427,-1.8233492543270375,-1.121398053114313,-3.7583805050049897
2008-01-01,-0.32254132570985244,-1.4571409143098897,-1.2980354027348955,-0.5927508454301383,-1.4364470521355464,-1.098934649674184,1.6807332319201815,-0.9349501900378618,-1.7516216877088402,-2.4641338389919865
2008-02-01,-0.7634126680887905,-1.4997160089166055,-1.1350717720548773,-0.5631914981005427,-1.231755081533985,-0.8566618164249262,-0.09336854245560804,-1.5643485704499769,-1.8680487324947352,-3.2484595450381972
2008-03-01,-1.1508019450622993,-1.972155846813654,-1.454040768116993,-0.26261582195473043,-0.9362105233814413,-0.6951465942587544,1.1347358903925817,-1.0343721077805994,-1.0927278861503003,-2.5953995108991226
2008-04-01,-0.9775648656707416,-1.4997160089166055,-1.4149154366249583,-0.26261582195473043,-0.6900519181070912,-0.6143889831756685,-0.3347589580208256,-1.5558554387081263,-1.3552382577832556,-3.001434497682209
2008-05-01,-0.9613444847207167,-1.9640956457235743,-1.0642753349547698,-0.9948561748890565,-0.9682967303343991,-0.3577408111143246,-0.4362946000082865,-1.0854866439509685,-1.3552382577832556,-3.2058020270948138
2008-06-01,-0.6061032042917308,-1.8037122628400877,-1.1811553688448326,-0.11481908530675193,-0.5051758514162101,-0.5192560332804963,0.7884220222102507,-1.6119811434469407,-1.559725172481436,-2.5879361671314554
2008-07-01,-0.5907120731844794,-2.444885272103793,-1.1811553688448326,-0.8124271082225067,-0.5466424860889987,-1.1940675995693562,0.43735907268538216,-1.3088298497463222,-1.559725172481436,-3.194874707880475
2008-08-01,-1.0453435237365725,-2.0902537224835154,-1.6760314248135522,-1.2440917850110205,-0.548755456118966,-0.8710371552370124,-2.3297136251455046,-1.8268312175004433,-1.0175614077991944,-4.323468933421011
2008-09-01,-1.3025353255287548,-1.710501872536576,-1.0835900204077666,-0.9897831922000808,-0.39807760871503356,-0.6951465942587544,0.5772138462631389,-1.5643485704499769,-1.5387533277606669,-2.9731697141904725
2008-10-01,-1.4158575295900548,-1.4578081103598375,-1.0642753349547698,-0.7109882347485211,-0.6233633462157313,-1.4219650940065276,0.3626178596863742,-1.881553344940257,-1.5387533277606669,-3.1477040638696034
2008-11-01,-1.8018810722335439,-1.154189465093212,-1.3021015444553652,-1.2017716061962262,-0.579784699208952,-2.243916543649473,0.5262514125934101,-1.294227188477295,-0.9175942614228814,-2.952914064624858
2008-12-01,-1.5684369997630645,-1.4998608026131508,-1.2787207172818986,-0.9603146247096053,-0.8728150147680052,-2.1621340919117067,-1.8357973167652235,-1.6140595293213456,-0.8588876814813577,-3.897572243570738
2009-01-01,-1.2040952448389106,-1.6263964880299489,-1.4189815783454283,-0.2921751692843261,-1.6219778524298993,-2.714086871335902,-1.6832992411080336,-1.182830175819301,-1.2762429561277115,-3.934807995780532
2009-02-01,-1.4572823031231072,-2.402599764890168,-0.8815010582357139,-1.3545505456940603,-1.961102972981176,-1.6605128482926785,-1.2656319705563472,-1.0875650298253736,-1.2468896661569497,-4.2644806670643405
2009-03-01,-1.4910619702085897,-1.2382948495998394,-1.3798562468533935,-0.5040728034413513,-1.6219778524298993,-1.4808972083513134,-0.8207810456642115,-1.0875650298253736,-1.3258849678124935,-3.4188637646412037
