,indice_Termini_Diretti,indice_Alimentari,indice_Energia,indice_Abitazione,indice_Trasporti,indice_Politiche_Economiche,indice_Aspettative_Consumatori,indice_Sanita,indice_Ricreazione,indice_globale,indice_Inflazione_Aggregato
2011-12-01,-0.8126719645711878,-0.04385030941575951,-0.010827730407569245,-1.2811254846410844,-0.8981224919840017,5.306635624224823,0.8299892395927216,-0.9111956197204522,0.6428494258145727,-0.28657040358563657,-0.16888716360615863
2012-01-01,-0.9778134892889406,-0.6438611158286602,-0.18674856242473079,-1.0014992992377525,-0.265271122150308,3.3356662916130846,-0.35710078989470917,-0.5467582041672084,-0.08835131526234785,-1.007831730559206,0.09652705693508062
2012-02-01,-0.866892738608957,-0.561425420374743,-0.30221380481675064,-0.35965858594995453,-1.1206353706215637,2.3871897424289337,-0.4567731934690762,-0.5442244438510538,-0.28495392164964634,-1.2714979626176186,-0.33728350758706677
2012-03-01,-0.5908304632112203,-0.22408548342501705,-0.12901594122872087,-0.24780811178862186,-0.47180153239126216,2.137936808428011,0.2622261850109382,-0.4391952013957298,-0.25668498867796546,-0.46973750417304005,0.03249461906836446
2012-04-01,-0.8896884900128673,-0.39363262147552724,-0.35994642601276056,-0.9176114436167531,-0.4395748587853495,1.9257882452868804,-0.4567731934690762,-0.6517874466225326,-0.003544516347305068,-1.2160971381649177,-0.6794217007747506
2012-05-01,-0.9778134892889406,-0.7399062552327063,-0.535867258029922,0.7976553324705393,-0.45555732718195724,2.484452623544157,-0.4567731934690762,-0.5747543787921197,-0.3132228546213273,-0.8408438709436445,-0.4045058779490828
2012-06-01,-0.866892738608957,-0.3509540697528779,-0.42040201563790225,0.540568486474124,-0.7051139576665763,2.7170359105765223,-0.4567731934690762,-0.5747543787921197,-0.5946322599236685,-0.8454663255378445,-0.32886153962252557
2012-07-01,-0.5255012153390574,-0.5631797595260374,-0.30221380481675064,-0.4981721655117552,-0.17429749671682002,2.636442676429856,0.7303168360183547,-0.2596666514261473,-0.3132228546213273,-0.4361928692948087,-0.7245243535205249
2012-08-01,-1.0234049920967612,-0.3065211788789343,-0.4449360059274647,-0.6939104952940875,-0.04029765103966711,1.9072360598569846,0.6306444324439877,-0.5190748245240668,-0.25668498867796546,-0.7316033029142335,-0.9439187169824711
2012-09-01,-0.866892738608957,0.12218815033216196,-0.30221380481675064,-0.8896488250764198,1.5219928103022586,1.5746664507588901,0.6306444324439877,-0.5254046906048484,-0.17835948075650987,-0.006304236085684614,-0.7320291171515473
