,indice_Termini_Diretti,indice_Alimentari,indice_Energia,indice_Abitazione,indice_Trasporti,indice_Politiche_Economiche,indice_Aspettative_Consumatori,indice_Sanita,indice_Ricreazione,indice_globale
2004-12-01,1.7060036703896742,-3.1891075822610877,-1.577400835658063,-2.7744291603516578,-1.7237935721205502,1.0331739920848362,-1.174226461061091,-2.1286707677885537,-2.5816318173777093,-5.140977231103652
2005-01-01,1.2025464497340885,-3.176788455440617,-1.4889659239237982,-2.7250369571442334,-1.7612917721515122,1.548812634025831,-0.692319994040017,-2.962084751215743,0.10736557901199753,-4.554671747648068
2005-02-01,1.454276854337814,-3.1847078941109195,-1.688108864802467,-2.730385099759798,-1.3559507203260637,1.239429448861234,-0.7247889391264215,-2.4025222703084714,-1.1411966546729682,-4.6146386182638945
2005-03-01,0.6538171425920405,-2.4545964897593313,-1.4331817170321726,-2.6529932638072067,-2.7594325579377363,0.7237908069202392,-1.643971407235117,-2.318783567523827,-1.9639873462292268,-5.396354637667528
2005-04-01,0.13193952856931698,-1.8494092911344864,-1.3979383031059012,-3.1220537329790474,-2.686278256011197,-0.1537978376114178,-1.7523194988272315,-2.6278523117897565,-1.9786090070383118,-5.608826827246993
2005-05-01,1.2088577405909373,-2.937063157294272,-1.5585923671374933,-2.3211033746625565,-2.918630413356439,0.000893754970880677,-1.645735812638551,-2.592273884187448,-1.5743654279290247,-5.526156630305854
2005-06-01,0.9997532040926629,-2.9798038428137694,-1.5069140078055203,-2.5204414421425114,-1.8312234717927003,-0.10223397341731827,-1.0706561119106999,-1.7592210866165554,-1.6404819263624857,-4.742754743118601
2005-07-01,1.3068817483063746,-2.8132407888859485,-1.5806462985788685,-3.028197829290648,-2.320996775967637,-0.6180732060047065,-1.9058421972420845,-1.6517634320970387,-2.051864967443932,-5.38241734544954
2005-08-01,-0.7337134198276087,-2.904001785705145,-1.2616121111995215,-3.547070141559029,-2.599170629744099,0.15658830078514477,-1.170886967231213,-2.0445708791476127,-2.7427900083914007,-6.059121730247183
2005-09-01,0.05648660289966663,-3.1970270209313902,-1.3815033577001998,-1.9125510338183829,-2.5281935329629524,0.6206630785320403,-0.990854382491511,-1.673783815388192,-1.9493164666334102,-4.989950264868136
2005-10-01,-0.006316537952823862,-2.981563718073837,-1.6840030172428138,-2.8238213635590816,-2.950921079805738,0.05265820981137331,-1.7442022625556302,-2.7230893045855407,-2.713497467986499,-6.4527259270131285
2005-11-01,0.7319960904723268,-2.9397029701843733,-2.1527757268526937,-1.3990268641655663,-1.4555930390306482,1.8514660775152962,-1.8525503541477444,-0.8525298371289886,-0.606858316130447,-3.9541838412133874
2005-12-01,0.13818693583684177,-3.197906958561424,-1.6176220369499243,-2.9176772672474813,-1.9483581484982275,1.9729033842473838,-0.9291732326809268,-1.5993199486239376,-1.93942163461461,-5.058112481342446
2006-01-01,0.1771013351086191,-3.0137451520329304,-1.1241471180159768,-3.265721479763987,-2.089056376529134,0.7231890349810598,-0.703966041118486,-0.9826250446658761,-0.25709411305381613,-4.214236506930956
2006-02-01,0.9586320055817643,-2.5210183119578544,-1.4922113868446036,-2.763313235231414,-1.9618964616091301,0.25891366658777143,-1.5987968004123783,-2.6519324493809244,-1.5866482837363332,-5.1854818612398415
2006-03-01,0.7881820322728323,-3.065285213852764,-1.7782761009815162,-1.7624368335781473,-1.9507653741531767,1.7658455648854132,-1.734320620880595,-2.4258800361870474,-2.302114426905053,-5.260735080864931
2006-04-01,0.19339466742490852,-3.0313439046336033,-2.027365076747373,-3.1109378078588037,-1.977109781287142,0.20815216497924424,-1.8363158816045422,-2.56819374659628,-1.3047182600818017,-5.865173579456155
2006-05-01,0.5566326139162316,-2.937063157294272,-1.440533027512631,-1.8298110552502274,-2.186800174802883,1.3200803654824065,-1.773142396835167,-0.6815164645913532,-1.075108757033058,-4.19230528633614
2006-06-01,0.19629341112906112,-2.822202265094882,-1.4912954334066955,-2.6418773386869625,-2.011174034158172,1.7660461555318063,-1.6520886435067181,-1.0519781294403985,-1.9223873406236507,-4.789128546241626
2006-07-01,-0.08185097347498439,-2.9502622217447767,-1.9994729733015602,-3.072241889882508,-1.6887411208881649,-0.15279488437945227,-1.967251276608026,-2.008631265689009,-1.7014550309607972,-5.717866461167003
2006-08-01,0.06456592234401613,-3.0322238422636367,-1.6913543277232723,-2.619645488446475,-2.375315567013219,1.6635201990827866,-1.7685539713704337,-1.2658098809105436,-1.7654372833607552,-5.194745246922221
2006-09-01,-0.8973309233888513,-2.983323593333904,-1.8520083917548642,-3.2323737044032548,-1.8779980700038286,0.41440762175564233,-1.6784768281695988,-2.061510808726908,-1.6159408241412347,-5.823269884687669
2006-10-01,-0.5638931993337919,-2.983323593333904,-2.0200137662669144,-1.4653027749979137,-1.6092669294926556,1.4236092751633915,-1.2842172563946714,-1.799849639652849,-1.2508846174556494,-4.6893138810442
2006-11-01,0.2428281426042639,-2.5666380896079315,-1.9774190418601847,-2.79624137070303,-2.343590804566637,0.822951892531693,-1.308568965209475,-2.4492378020656234,-1.2631428638695918,-5.379443986529957
2006-12-01,-1.0162045058686306,-3.0732046525230667,-1.8684433371605655,-3.3702736686835144,-1.6660793570586636,1.1329368496354693,-1.5345637009851376,-2.6515712635246285,-1.692156713561769,-6.02920281126123
2007-01-01,0.07713356290187438,-2.930903593884037,-1.1905280983088662,-1.404794646670246,-2.3726876586662007,1.441718262860887,-1.2457892525467107,-2.2832051399215185,-0.9725356468291699,-4.552375088071038
2007-02-01,-0.850527737642864,-3.024304403593334,-1.8446570812744056,-1.36609872869395,-1.898514671946468,0.2075503930400649,-1.263788130493347,-2.0481784200078006,-1.2954199426827735,-4.962672282579798
2007-03-01,-0.3734953219500626,-2.529817688258191,-2.036448711672616,-1.3274028107176545,-2.044174214254268,1.1845007138295687,-0.7886427095323841,-1.1619900955290878,-1.6897686897732607,-4.293548234629567
2007-04-01,-1.3382143718641883,-3.0322238422636367,-1.5814626695857448,-1.724839226441584,-1.677693190974773,0.10502443659104524,-0.11224803371717329,-0.9348899117122428,-1.3809341495023362,-4.199677455189317
2007-05-01,-0.8994738390386483,-3.03046396700357,-1.8167649778285928,-1.2059669141732032,-1.6744068832649883,0.823152483178086,-1.4522100219492928,-0.9111709599773706,-1.368675903088394,-4.398265295718341
2007-06-01,-0.39988104131430424,-2.7797008588158634,-1.9183893720477536,-1.1895028464373953,-1.4928511042514139,1.1657899541928942,-1.5796166061459087,-1.8106916731751905,-1.6281990705551772,-4.624496022678304
2007-07-01,-0.7462492111975232,-2.5795978748179573,-1.5297843102537723,-2.387889620477816,-1.4471730174642743,0.48091619345606423,-1.825646695716285,-1.44228976262616,-1.1190229582470443,-4.688372302014297
